entity,type
Minh Thắng,PER
Nguyễn,PER
Nguyễn Thành,PER
Nguyễn Thị Định,PER
Nguyễny,PER
Sở Giao thông Vận tải TP HCM,ORG
Đỗ,PER
Đỗ Xuân Hợ,PER
Anh,PER
Ban Quản lý dự án Mỹ Thuận,ORG
Bộ Giao thông Vận tải,ORG
Công ty TNHH Nhạc Sơn,ORG
Cục Quản lý đầu tư xây dựng,ORG
Cửu Long,PER
Duy,PER
Tổng công ty 319,ORG
Tổng công ty 36,ORG
Bộ Giao thông Vận tải,ORG
Cửu Long,PER
Khánh Hoàng,PER
UBND TP Cần Thơ,ORG
ASEAN,ORG
Ban Thường vụ,ORG
Bộ Chính trị,ORG
Hoàng Phong,PER
Thành ủy TP HCM,ORG
Trần Tuấn Anh,PER
Viết Tuân,PER
Vũ Đức Đam,PER
ban Kinh tế Trung ương,ORG
chấp hành,ORG
ương,ORG
ACV,ORG
Bamboo Airways,ORG
Cục Hàng không,ORG
Cục Hàng không Việt Nam,ORG
Hàng không Việt Nam,ORG
Hạnh,PER
Minh Hạnh,PER
Quỳnh Trần,PER
Tổng công ty Cảng hàng không Việt Nam,ORG
Vietjet Air,ORG
Vietnam Airlines,ORG
Đinh Việt Sơnc trưởng,ORG
Đoàn Loan,PER
"Bộ Văn hóa, Thể thao và Du lịch",ORG
Câu lạc bộ Mùa Xuân,ORG
Công ty Công viên Thống Nhất,ORG
Giang Huy,PER
Liên đoàn Xiếc Việt Nam,ORG
Rạp Xiếc Trung ương,ORG
Sở Xây dựng,ORG
Võ Hải,PER
Ban quản lý dự án 7,ORG
An,PER
Chiều,PER
HTX dệt choàng Long Khánh,ORG
Kim Chiều,PER
Nguyễn Văn Khơi,PER
Ngọc Tài,PER
Phan Thanh An,PER
Thanh Tiền,PER
UBND huyện Hồng Ngự,ORG
An,PER
An Bình,PER
Bình,ORG
Bộ Nông nghiệp và Phát triển Nông thôn,ORG
Cửu Long,PER
Khánh Hoàng,PER
Nguyên,PER
Nguyễn Hoàng Nguyên,PER
Nguyễn Văn Thảo,PER
UBND xã Hòa Ninh,ORG
Chín Nghĩa,ORG
Công ty cổ phần Xe khách Phương Trang,ORG
Gia Minh,PER
Phương Trang,ORG
Quang,PER
bến xe Miền Đông,ORG
hãng Phương Trang,ORG
Ánh,PER
Đào Viết Ánh,PER
Đỗ Phú Đạt,PER
ASEAN,ORG
Alexander De Croo,PER
Bộ Ngoại giao,ORG
Charles Michel,PER
EU,ORG
Hội đồng châu Âu,ORG
Mark Rutte,PER
Phạm Minh Chính,PER
Phạm Minh Chínhương mại Dịch vụ,ORG
VGP,ORG
Vũ Anh,PER
Xavier Bettel,PER
cầu,ORG
Lương Văn Thuận,PER
Nguyễn Tấn Quang,PER
Quang,PER
Đắc Thành,PER
Bảo tàng tỉnh Thanh Hóa,ORG
Dương,PER
Hải,PER
Lam Sơn,PER
Lê Hoàng,PER
Nguyễn Thị Hải,PER
Sở Văn hoá Thể thao và Du lịch Thanh Hóa,ORG
Trịnh Đình Dương,PER
trường THCS Hàm Rồng,ORG
& C,ORG
Baoquocte,ORG
Bộ Ngoại giao,ORG
CJ,ORG
Cảnh sát biển,ORG
Cục quản lý xuất nhập cảnh Hàn Quốc,ORG
Daewoo,ORG
Hyundai Motor,ORG
Hải quân Việt Nam,ORG
Hội đồng Bảo an LHQ,ORG
LG,ORG
Lotte,ORG
Nguyễn Xuân Phúc,PER
TTXVN,ORG
Văn phòng Tổng thống Hàn Quốc,ORG
Vũ Anh,PER
Yoon,PER
Yoon Suk - yeol,PER
Yoon Suk -ol,PER
ước Liên Hợp Quốc về Luật Biển 1982,ORG
Anh Tuấn,PER
Bộ Quốc phòng,ORG
Các lực lượng vũ trang cách mạng,ORG
Cương,PER
Fidel Castro,PER
Hồ Chí Minh,PER
Lương Cường,PER
Nguyễn Tân Cương,PER
Phú Sơn,PER
Quân đội nhân dân Việt Nam,ORG
QĐND Việt Nam,ORG
Sơn Hà,PER
Tổng cục Chính trị Quân đội nhân dân Việt Nam,ORG
Víctor Rojo Ramos,PER
Công ty TNHH ASG Vina,ORG
Công ty TNHH All Green Vina,ORG
Công ty TNHH LC Foods,ORG
Công ty TNHH Yazaki EDS Việt Nam,ORG
Công đoàn Công ty Yazaki EDS Việt Nam,ORG
Liên đoàn Thương mại và Công nghiệp Việt Nam,ORG
Liên đoàn lao động tỉnh Bình Dương,ORG
Lê Tuyết,PER
Lưu Thế Thuận,PER
Phạm Thị Tuyết Nhung,PER
Tập đoàn Yazaki Nhật Bản,ORG
VCCI,ORG
công đoàn Bình Dương,ORG
Đình Trọng,PER
Biên phòng Nghệ An,ORG
Hải đoàn 11,ORG
Hải đội 111,ORG
Hồ Phúc Long,PER
Lư,PER
Mạnh Thường,PER
Nguyễn Văn Thiện,PER
Trung tâm Tìm kiếm cứu nạn hàng hải khu vực 1,ORG
Vùng Cảnh sát biển 1,ORG
Ban Quản lý dự án đường sắt đô thị Hà NộiB,ORG
MRB,ORG
Metro Hà Nội,ORG
Phạm Chiểu,PER
Võ Hải,PER
Đại học Giao thông Vận tải,ORG
& C,ORG
ASEAN,ORG
Baoquocte,ORG
CJ,ORG
Daewoo,ORG
Hyundai Motor,ORG
LG,ORG
Lotte,ORG
Nguyễn Xuân Phúc,PER
Văn phòng Tổng thống Hàn Quốc,ORG
Yoon Suk - yeol,PER
Công ty TNHH Đầu tư chuyển giao công nghệ cuộc sống Hạ Long,ORG
UBND tỉnh Quảng Ninh,ORG
UBND TP Hà Nội,ORG
Ban Bí thư,ORG
Ban Nội chính Trung ương,ORG
Bí thư,ORG
Bộ Chính trị,ORG
Hiệp Quốc,ORG
Hoàng Phong,PER
Nam,ORG
Phan Đình Trạc,PER
Phan Đình Trạcưởng,ORG
Phạm Minh Chính,PER
Trạc,PER
Viết Tuân,PER
Võ Văn Thưởng,PER
ban Nội chính Trung ương,ORG
xã hội chủ nghĩa,ORG
Đảng Cộng sản Việt Nam,ORG
Cao Duy Thái,PER
Công ty High Point Furniture Global,ORG
Công ty Shyang Hung Cheng,ORG
Công ty TNHH High Point Furniture Global,ORG
Công ty TNHH Shyang Hung Cheng,ORG
Công ty TNHH may C. T Vina,ORG
"Hiệp hội Da giày, túi xách Việt Nam",ORG
Huỳnh Thị Tuyết,PER
Hà Thị Diệu Hiền,PER
Hưng,PER
Liên đoàn lao động Bình Dương,ORG
Lê Tuyết,PER
Nguyễn Quốc Hưng,PER
Phan Thị Quý,PER
Quý,PER
"Sở Lao động, Thương binh và Xã hội Đồng Nai",ORG
Thái,PER
Võ Thị Thúy Kiều,PER
pháp luật,ORG
Đạt,PER
Đặng Tấn Đạt,PER
Hùng Lê,PER
Khuyên,PER
Lê Thị Tịnh,PER
Nguyễn Thị Hoài Khuyên,PER
Tịnh,PER
Đức Hùng,PER
Đắc Thành,PER
Phạm Linh,PER
Bộ Quốc phòng,ORG
Cục Gìn giữ hòa bình,ORG
Cục Gìn giữ hòa bình Việt Nam,ORG
Cục gìn giữ hòa bình,ORG
EU,ORG
Học viện Kỹ thuật Quân sự,ORG
Học viện Kỹ thuật quân sự,ORG
Học viện Quân y,ORG
Hợp Quốc,ORG
Liên,PER
Liên Hợp Quốc,ORG
Liên minh châu Âu,ORG
NVCC,ORG
Sơn Hà,PER
Trần Văn,PER
Vũ Thị Liên,PER
Đại học Ngoại ngữ,ORG
Đại học Quốc gia Hà Nội,ORG
Ban An toàn giao thông tỉnh Hưng Yên,ORG
Gia Chính,PER
Phạm Đức Huy,PER
Tin tức Hưng,ORG
Tòng Thị Duyên,PER
Tòng Văn Tâm,PER
Tòng Văn Đức,PER
Ban Quản lý hồ Hoàn Kiếm,ORG
phố cổ Hà Nội,ORG
Gia Chính,PER
Giang Huy,PER
Trang Accuweather,ORG
Trung tâm Dự báo Khí tượng Thủy văn quốc gia,ORG
An Minh,PER
Bộ Công Thương,ORG
Cửu Long,PER
Nguyệt Nhi,PER
Phạm Minh Chính,PER
Phạm Văn Thiều,PER
UBND tỉnh Bạc Liêu,ORG
Anh,PER
Bộ Giao thông Vận tải,ORG
Bộ Quốc phòng,ORG
Cục hàng không Việt Nam,ORG
Duy,PER
Hải Đạt,PER
Nguyễn Tấn Tuấn,PER
Phúc Đạt,PER
Quân chủng Phòng không - Không quân,ORG
Trung đoàn 921,ORG
UBND tỉnh Yên Bái,ORG
Đoàn Loan,PER
Phạm Dự,PER
An,ORG
Bình,PER
Lê Phú Bình,PER
Phan Minh Tâm,PER
Tâm,PER
Võ Thạnh,PER
Vạn,PER
Phước Tuấn,PER
Thái Hà,PER
Ban Quản lý Dự án đầu tư xây dựng khu vực,ORG
Gia Minh,PER
Khánh Hoàng,PER
Lê Vân,PER
Lê Văn Thường,PER
Nguyễn Văn Quân,PER
Sở Giao thông Vận tải TP HCM,ORG
Sở Giao thông Vận tải thành phố,ORG
Thủ Đức,ORG
Cao Văn Thủy,PER
HTX Nông nghiệp xã Lâm Động,ORG
Lê Tân,PER
Mai Anh,PER
Nguyễn Văn Viển,PER
Nhi,PER
UBND huyện Thủy Nguyên,ORG
Đàm Văn Nhi,PER
Phước Tuấn,PER
Thái Hà,PER
Bộ Giáo dục và Đào tạo,ORG
Giáo dục và Đào tạo,ORG
Hồ Tấn Minh,PER
Minh,PER
Nguyễn Văn Hiếu,PER
Quỳnh Trần,PER
Sở Giáo dục và Đào tạo TP HCM,ORG
THPT Trưng Vương,ORG
Thanh Hằng,PER
UBND TP HCM,ORG
Quỳnh Trần,PER
Thu Hằng,PER
UBND TP HCM,ORG
Ban Quản lý dự án đầu tư xây dựng công trình,ORG
Thanh,PER
Trần Sỹ Thanh,PER
UBND TP Hà Nội,ORG
Võ Hải,PER
Văn Lộc,PER
Bình,PER
Lê Phú Bình,PER
Phan Minh Tâm,PER
Trung tâm Dự báo Khí tượng Thủy văn quốc gia,ORG
Tâm,PER
Võ Thạnh,PER
Vạn An,PER
Ban quản lý dự án đầu tư xây dựng TP Cần Thơ,ORG
Cường,PER
Cửu Long,PER
Khánh Hoàng,PER
Lê Minh Cường,PER
Lê Tiến Dũng,PER
Sở Giao thông Vận tải TP Cần Thơ,ORG
Xuân Thịượng,PER
Báo Quảng Ninh,ORG
Cao Tường Huy,PER
Cao Tường Huyưởng,ORG
Huy,PER
Nguyễn Tường Văn,PER
Phạm Bình Minh,PER
Tỉnh ủy Quảng Ninh,ORG
UBND tỉnh Quảng Ninh,ORG
Viết Tuân,PER
ban Tuyên giáo,ORG
Bùi Thanh Sơn,PER
Bộ Ngoại giao,ORG
Các tổ chức quốc tế,ORG
Hà Kim Ngọc,PER
Hằng,PER
Lê Thị Thu Hằng,PER
Nguyễn Minh Vũ,PER
Phạm Quang Hiệu,PER
Thông tin Báo chí,ORG
Thông tin báo chí,ORG
VGP,ORG
Viết Tuân,PER
Vụ Thông tin Báo chí,ORG
Vụ Thông tin Văn hóa,ORG
nước ngoài,ORG
Đại học Tây Anh,ORG
Đại sứ quán Việt Nam,ORG
Đỗ Hùng Việt,PER
Ủy ban Nhà nước về người Việt Nam,ORG
Giáo xứ Chính tòa Thanh Hóa,ORG
Hạnh,PER
Lê Hoàng,PER
Lê Thành Văn,PER
Nguyễn Thị Hạnh,PER
Thịnh,PER
Trần Đức Thịnh,PER
Văn,PER
trường Đại học Hồng Đức,ORG
Đức Thịnh,ORG
Bằng,PER
Dũng,PER
Gia Minh,PER
Khánh Hoàng,PER
Nguyễn Sĩ Dũng,PER
Nguyễn Xuân Thành,PER
Phan Công Bằng,PER
Sở Giao thông Vận tải TP HCM,ORG
Sở Tài nguyên và Môi trường TP HCM,ORG
Thanh Tùng,PER
Thành,PER
Trường Chính sách Công và Quản lý Fulbright,ORG
Trực,PER
Võ Trung Trực,PER
Văn phòng Quốc hội,ORG
Ban Tuyên giáo Trung ương,ORG
"Bộ Văn hóa, Thể thao và Du lịch",ORG
Dũng,PER
Hải,PER
Hồ Sĩ Quý,PER
Hội đồng Lý luận Trung ương,ORG
"Hội đồng Lý luận, phê bình văn học, nghệ thuật Trung ương",ORG
Lương Đình Hải,PER
Quang Tấn,PER
Quý,PER
Sơn Hà,PER
Viết Tuân,PER
Viện Hàn lâm Khoa học Xã hội Việt Nam,ORG
Viện Hàn lâm Khoa học xã hội Việt Nam,ORG
Đinh Xuân Dũng,PER
Châu Thành,PER
Cửu Long,PER
Thạch Thị Đẹp,PER
Trịnh Văn Bé,PER
UBND huyện Trần Đề,ORG
Đẹp,PER
Bộ Tư pháp,ORG
HĐND TP Hà Nội,ORG
Ngọc Thành,PER
Nhà máy Dệt mùa đông,ORG
Nhà máy thuốc lá Thăng Long,ORG
Trần Quý Tiên,PER
UBND TP Hà Nội,ORG
Võ Hải,PER
Xe buýt Hà Nội,ORG
Xe đạp Thống Nhất,ORG
Chi cục kiểm lâm TP HCM,ORG
Lộc,PER
Nguyễn Hữu Lộc,PER
Đình Văn,PER
TV Online,ORG
UBND phường Trúc Bạch,ORG
UBND quận Hai Bà Trưng,ORG
VTV Digital,ORG
VTV. vn,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Ban Chỉ huy quân sự thành phố Việt Trì,ORG
Ban chỉ huy quân sự thành phố Việt Trì,ORG
Bộ Chỉ huy quân sự,ORG
Bộ Chỉ huy quân sự tỉnh Phú Thọ,ORG
Công Binh,ORG
TV Online,ORG
Trung đoàn 753,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
TV Online,ORG
Tổng Công ty Vận tải Hà Nội,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,ORG
Công an tỉnh Bắc Giang,ORG
Nguyễn Văn Quý,PER
Ngô Văn Phục,PER
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Nguyễn Quốc Oanh,PER
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
v,ORG
Đài Truyền hình Việt Nam,ORG
TV Online,ORG
Trần Văn Dũng,PER
Tổng cục Quản lý thị trường,ORG
VTV Digital,ORG
VTVGo,ORG
Zalo,PER
nghiệp vụ,ORG
Đài Truyền hình Việt Nam,ORG
Bệnh viện Đại học Y dược TP Hồ Chí Minh,ORG
Nguyễn Hữu Trung,PER
Sở Y tế TP Hồ Chí Minh,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Y,ORG
Đài Truyền hình Việt Nam,ORG
Hằng,PER
Hằng Top,ORG
Hồng Phúc,PER
Nguyễn Thị Hằng,PER
Nguyễn Thị Ngọc Nữ,PER
Phòng Y tế quận Cầu giấy,ORG
Phòng Y tế quận Cầu giấy Hà Nội,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
Nguyễn Đông,PER
Quân,PER
Sự,PER
TV Online,ORG
Thanh,PER
UBND huyện Bảo Lâm,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Liên đoàn Lao động TP Hồ Chí Minh,ORG
TV Online,ORG
Trần Đoàn Trung,PER
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Hạ tầng kỹ thuật,ORG
Sở Xây dựng TP Hồ Chí Minh,ORG
TV Online,ORG
UBND TP Hồ Chí Minh,ORG
VTV Digital,ORG
VTV. vn,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Sở Y tế TP Hồ Chí Minh,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Nguyễn Gia Phúc,PER
Nguyễn Thị Xuân Thu,PER
Sở Y tế Hà Nội,ORG
TV Online,ORG
Trung tâm Y tế huyện Đan Phượng,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Ban Quản lý an toàn thực phẩm TP Hồ Chí Minh,ORG
TV Online,ORG
UBND tỉnh Lào Cai,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Nguyễn Văn Hậu,PER
Phòng khám đa khoa Hồng Phong,ORG
Sở Y tế TP Hồ Chí Minh,ORG
TV Online,ORG
Trung tâm Trọng tài Thương mại Luật gia Việt Nam,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
Liên đoàn Lao động thành phố Hà Nội,ORG
TTXVN,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
ban Nhân dân,ORG
v,ORG
Đài Truyền hình Việt Nam,ORG
Bộ Công an,ORG
Cổng dịch vụ công quốc gia,ORG
Cục Cảnh sát quản lý hành chính về trật tự xã hội,ORG
TV Online,ORG
Trang,PER
VTV Digital,ORG
VTVGo,ORG
Vũ Văn Tấn,PER
Đài Truyền hình Việt Nam,ORG
Bộ Công an,ORG
Bộ Lao động và Thương binh xã hội,ORG
Bộ Tư pháp,ORG
Chính phủ,ORG
Công an TP Hồ Chí Minh,ORG
Cổng dịch vụ công quốc gia,ORG
Cục Cảnh sát quản lý về trật tự xã hội,ORG
Hoàng,PER
TV Online,ORG
UBND xã Thanh Phong,ORG
VT,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Văn,ORG
Đài Truyền hình Việt Nam,ORG
Liên Hợp Quốc,ORG
Nguyễn Phương Oanh,PER
TV Online,ORG
Trường PTDT bán trú Tiểu học 2 xã Hữu Kiên,ORG
Trường Tiểu học Thuận Thành,ORG
VTV Digital,ORG
VTV. vn,ORG
VTVGo,ORG
Vim,ORG
Đài Truyền hình Việt Nam,ORG
Đặng Đăng Khoa,PER
Bộ Giáo dục và Đào tạo,ORG
Nam,ORG
Nguyễn Kim Sơn,PER
Nguyễn Văn Hoàng,PER
TV Online,ORG
Trung tâm Dạy nghề cho người khu,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Việt Nam,ORG
phố Hồ Chí Minh,ORG
t,ORG
v,ORG
Đài Truyền hình Việt Nam,ORG
Cúc,PER
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
Đỗ Thị Cúc,PER
Sở Giao thông Vận tải,ORG
Sở Giao thông Vận tải TP Hồ Chí Minh,ORG
TV Online,ORG
UBND TP Hồ Chí Minh,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Bế Văn Cương,PER
Lù Văn Chinh,PER
TV Online,ORG
Tiểu,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
Đặng Văn Tuấn,PER
Mgreen,PER
TV Online,ORG
Thảo,PER
Trần Thị Thoa,PER
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
vn,ORG
Đài Truyền hình Việt Nam,ORG
Bệnh viện Nhi trung ương,ORG
Nội tổng quá,ORG
TV Online,ORG
Trung tâm Bệnh nhiệt đới,ORG
Trung tâm kiểm soát Bệnh tật TP Hồ Chí Minh,ORG
VTV Digital,ORG
VTVGo,ORG
v,ORG
Đài Truyền hình Việt Nam,ORG
Đỗ Thị Thúy Nga,PER
ương,ORG
Bộ GTVT,ORG
Sở GTVT,ORG
Sở Giao thông vận tải TP Hồ Chí Minh,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Nội,ORG
Phòng cháy chữa cháy,ORG
TV Online,ORG
UBND TP Hà Nội,ORG
VTV Digital,ORG
VTVGo,ORG
công an TP Hồ Chí Minh,ORG
sát Phòng cháy chữa cháy,ORG
Đài Truyền hình Việt Nam,ORG
Sở Giao thông Vận tải TP Hồ Chí Minh,ORG
TV Online,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
v,ORG
Đài Truyền hình Việt Nam,ORG
Công ty Luật Bross & Partners,ORG
Cục Phát thanh Truyền hình & Thông tin điện tử,ORG
FIFA,ORG
FPT,ORG
Google,ORG
Lê Quang Vinh,PER
Phạm Hoàng Hải,PER
TV Online,ORG
Trung tâm Bản quyền Nội dung số Việt Nam,ORG
VNPT,ORG
VTV,ORG
VTV Digital,ORG
VTVGo,ORG
Viettel,ORG
Youtube,ORG
Đài Truyền hình Việt Nam,ORG
Đài Truyền hình việt Nam,ORG
Bộ,ORG
CJ,ORG
Choo Kyung - ho,PER
Daewoo,ORG
Doosan,ORG
EPG,ORG
GS,ORG
Han Duck - soo,PER
"Hiệp hội Kinh tế, Văn hóa Hàn Quốc – Việt Nam",ORG
Hyosung,ORG
Hyundai Motor,ORG
Hàn Dân Quốc,ORG
Hội Hữu nghị Hàn – Việt,ORG
Kim Jin - pyo,PER
Kế hoạch và Tài chính,ORG
LG,ORG
Lotte,ORG
Lý,PER
Nguyễn Xuân Phúc,PER
Ngân hàng KDB,ORG
Nh,ORG
Nhà nước Việt Nam,ORG
Quốc hội,ORG
Samsung Electronics,ORG
TTXVN,ORG
TV Online,ORG
VTVGo,ORG
Việt Nam,ORG
Yoon Suk - yeol,PER
Yoon Suk Yeol,PER
người có uy tín,ORG
tịch nước Việt Nam,ORG
Đoàn cấp cao Việt Nam,ORG
Đài Truyền hình Việt Nam,ORG
Đại sứ quán Việt Nam,ORG
"Đảng, Nhà nước Việt Nam",ORG
ASEAN,ORG
Ban chấp hành Trung ương Đảng,ORG
Công ty Samsung Electronics Việt Nam - Thái Nguyên,ORG
Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên,ORG
Hội hữu nghị Việt Nam - Hàn Quốc,ORG
Hội đồng Nhân dân,ORG
Lee Byeong Kuk,PER
Liên hiệp các tổ chức hữu nghị tỉnh,ORG
Samsung,ORG
Samsung Electronics Việt Nam Thái Nguyên,ORG
TV Online,ORG
Thùy Chi,PER
Trịnh Việt Hùng,PER
Tập đoàn Samsung,ORG
Tổng cục Thống kê,ORG
VTVGo,ORG
Võ Thị Ánh Xuân,PER
nhà máy Samsung Electronics Việt Nam,ORG
Đài Truyền hình Việt Nam,ORG
Đại sứ quán Hàn Quốc,ORG
Ủy ban Nhân dân tỉnh Thái Nguyên,ORG
Giám hiệu,ORG
Nguyễn Thị Thanh Hương,PER
TV Online,ORG
Trường Chính trị Nguyễn Chí Thanh,ORG
Tỉnh ủy Thừa Thiên - Huế,ORG
Tổng hợp Học viện Âm nhạc Huế,ORG
VTV News,ORG
VTVGo,ORG
Y,ORG
Đài Truyền hình Việt Nam,ORG
Ủy ban Kiểm tra,ORG
Chí Thành,PER
Lê Tuấn,PER
Nguyễn Xuân Phúc,PER
TTXVN,ORG
TV Online,ORG
Trung Kiên,PER
VTVGo,ORG
Yoon Suk Yeol,PER
Đài Truyền hình Việt Nam,ORG
Ban Chấp hành Trung ương,ORG
Ban Thời sự,ORG
Bộ Chính trị,ORG
Nguyễn Phú Trọng,PER
Samsung,ORG
TV Online,ORG
Tập đoàn Samsung,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Báo điện tử Chính phủ,ORG
Bộ Chính trị,ORG
Bộ Quốc phòng,ORG
Bộ Quốc phòng Mông Cổ,ORG
Hồ Chí Minh,PER
Liên Hợp Quốc,ORG
Ng,PER
Phan Văn Giang,PER
Quân ủy Trung ương,ORG
Saikhanbayar Gursed,PER
TV Online,ORG
Tsedenbal,PER
VGP,ORG
VTVGo,ORG
Đài Truyền hình Việt Nam,ORG
Bộ,ORG
Bộ Giáo dục New Zealand,ORG
Chris Hipkins,PER
Christopher Luxon,PER
Doãn Tấn,PER
Giáo dục,ORG
Jenny Salesa,PER
Liên hợp quốc,ORG
Nguyễn Phú Trọng,PER
Ngọc Thành,PER
Quốc hội,ORG
TTXVN,ORG
TV Online,ORG
Trần Nam,PER
VTVGo,ORG
Vương Đình Huệ,PER
Zealand,ORG
Đài Truyền hình Việt Nam,ORG
Đảng Cộng sản Việt Nam,ORG
Đảng đối lập New Zealand,ORG
Đức Thuận,PER
đảng Dân tộc,ORG
"Ủy ban Đối ngoại, Quốc phòng và Thương mại",ORG
"Ủy ban Đối ngoại, Quốc phòng và Thương mại Quốc hội New Zealand",ORG
Cảnh sát biển,ORG
Cảnh sát biển Trung Quốc,ORG
Cảnh sát biển Việt Nam,ORG
Cục Cảnh sát biển Trung Quốc,ORG
Giang Trạch Dân,PER
Lực lượng Cảnh sát biển Việt Nam,ORG
TV Online,ORG
Trần Hùng,PER
Trần Xuân Lương,PER
Uất Trung,PER
VTVGo,ORG
Việt Nam,ORG
sát biển,ORG
sát biển Việt Nam,ORG
Đài Truyền hình Việt Nam,ORG
Bộ Quốc phòng,ORG
Bộ Quốc phòng Mông Cổ,ORG
Phạm Minh Chính,PER
Quốc phòng,ORG
Saikhanbayar Gursed,PER
TV Online,ORG
Trung Thành,PER
VGP,ORG
VTVGo,ORG
Việt Cường,PER
Văn Khương,PER
Đài Truyền hình Việt Nam,ORG
Ban Chấp hành Trung ương Đảng,ORG
Ban Kinh tế Trung ương,ORG
Bộ Chính trị,ORG
TV Online,ORG
Trần Tuấn Anh,PER
VTVGo,ORG
Võ Văn Thưởng,PER
Vũ Đức Đam,PER
Đài Truyền hình Việt Nam,ORG
Ban Thời sự,ORG
"Bộ Lao động, Thương binh và Xã hội",ORG
Ngân hàng Nhà nước,ORG
Phạm Minh Chính,PER
Phạm Minh chính,PER
TTXVN,ORG
TV Online,ORG
